method,trial,success,good_grasp,closed,errored,final_err_mm,post_grasp_err_mm,lift_dz_m,dur_s,max_disp_mm,path_len_mm,mean_speed_mms,rms_radial_mm,sway_area_mm2,rms_long_mm,rms_lat_mm,ellipse_ratio,yaw_rms_deg,yaw_range_deg,z_rms_mm,mpf_hz
centroid,01,1,1,1,0,6.8,11.2,0.0887,64.1,2.4,48.9,0.76,0.5,2.0,0.42,0.28,0.54,0.26,1.37,3.33,0.316
centroid,02,1,1,1,0,6.4,10.9,0.0886,64.2,6.6,75.2,1.17,1.01,7.6,0.78,0.65,0.48,0.36,1.88,3.39,0.193
centroid,03,1,1,1,0,3.5,8.8,0.0875,64.2,2.1,63.6,0.99,0.67,3.4,0.57,0.36,0.51,0.39,1.74,3.34,0.217
centroid,04,1,1,1,0,6.0,10.4,0.0887,64.2,6.7,64.1,1.0,0.92,6.2,0.66,0.64,0.47,0.33,1.76,3.41,0.23
centroid,05,1,1,1,0,6.2,10.7,0.0879,64.2,2.2,54.1,0.84,0.51,2.0,0.41,0.3,0.49,0.34,1.65,3.39,0.321
centroid,06,1,1,1,0,6.3,10.8,0.0887,64.0,6.9,70.0,1.09,0.94,6.1,0.69,0.63,0.45,0.3,1.66,3.41,0.241
centroid,07,1,1,1,0,6.1,10.9,0.0888,63.9,2.2,64.0,1.0,0.55,1.6,0.5,0.23,0.3,0.24,1.35,3.4,0.405
centroid,08,1,1,1,0,6.5,11.2,0.0888,63.8,6.9,88.5,1.39,1.04,7.5,0.86,0.6,0.44,0.23,1.45,3.39,0.238
centroid,09,1,1,1,0,7.8,11.9,0.0888,63.9,2.1,55.5,0.87,0.53,1.8,0.47,0.26,0.39,0.24,1.32,3.38,0.353
centroid,10,1,1,1,0,6.5,11.1,0.0884,63.8,6.9,75.5,1.18,0.97,6.6,0.74,0.63,0.44,0.25,1.5,3.41,0.229
centroid,11,1,1,1,0,5.3,10.4,0.0887,64.0,2.2,58.1,0.91,0.54,1.6,0.49,0.23,0.32,0.24,1.34,3.39,0.381
centroid,12,1,1,1,0,6.5,11.0,0.0887,64.0,6.9,98.2,1.54,1.11,8.3,0.95,0.58,0.42,0.22,1.43,3.4,0.243
centroid,13,1,1,1,0,5.9,10.8,0.0887,64.0,2.1,63.5,0.99,0.55,1.6,0.5,0.24,0.31,0.23,1.3,3.38,0.39
centroid,14,1,1,1,0,6.0,9.9,0.0883,65.2,7.0,112.6,1.73,1.2,9.2,1.07,0.55,0.39,0.21,1.35,3.38,0.264
centroid,15,1,1,1,0,4.9,10.1,0.0882,64.0,2.1,65.5,1.02,0.56,1.8,0.51,0.24,0.34,0.23,1.3,3.39,0.378
centroid,16,1,1,1,0,6.3,10.9,0.0877,64.0,6.9,99.6,1.55,1.14,8.6,0.97,0.6,0.41,0.22,1.38,3.4,0.234
centroid,17,1,1,1,0,5.9,10.8,0.0887,64.0,2.1,54.0,0.84,0.51,1.5,0.45,0.23,0.35,0.24,1.33,3.39,0.372
centroid,18,1,1,1,0,6.6,11.1,0.0888,63.9,6.9,106.5,1.67,1.19,9.0,1.05,0.55,0.39,0.21,1.37,3.4,0.259
centroid,19,1,1,1,0,5.1,10.2,0.0885,63.9,2.2,71.9,1.13,0.6,1.9,0.55,0.25,0.31,0.2,1.2,3.4,0.393
centroid,20,1,1,1,0,6.3,10.9,0.0888,64.0,6.9,96.1,1.5,1.11,8.2,0.96,0.57,0.41,0.21,1.39,3.4,0.249
centroid,21,1,1,1,0,6.1,11.0,0.0885,64.0,2.1,71.6,1.12,0.6,1.8,0.54,0.26,0.29,0.24,1.34,3.38,0.401
centroid,22,1,1,1,0,6.1,9.8,0.0888,65.3,6.9,107.1,1.64,1.15,8.8,1.01,0.57,0.41,0.22,1.4,3.38,0.254
centroid,23,1,1,1,0,5.2,10.4,0.0888,64.0,2.1,58.1,0.91,0.52,1.6,0.47,0.23,0.35,0.25,1.37,3.4,0.372
centroid,24,1,1,1,0,6.7,11.0,0.0887,64.0,6.8,74.3,1.16,0.97,6.5,0.75,0.62,0.43,0.26,1.53,3.41,0.232
centroid,25,1,1,1,0,4.7,9.8,0.0887,63.9,2.1,58.5,0.91,0.52,1.7,0.46,0.24,0.37,0.26,1.42,3.4,0.361
centroid,26,1,1,1,0,6.5,11.1,0.088,64.1,6.9,98.7,1.54,1.11,8.3,0.95,0.58,0.42,0.23,1.44,3.39,0.245
centroid,27,1,1,1,0,5.8,10.8,0.0887,64.0,2.1,58.8,0.92,0.52,1.6,0.47,0.24,0.36,0.25,1.36,3.39,0.362
centroid,28,1,1,1,0,6.9,11.6,0.0888,64.0,7.0,124.6,1.95,1.26,10.3,1.14,0.54,0.4,0.2,1.31,3.39,0.287
centroid,29,1,1,1,0,3.5,9.2,0.0888,64.1,2.1,81.1,1.27,0.64,2.7,0.56,0.3,0.41,0.23,1.32,3.37,0.334
centroid,30,1,1,1,0,6.0,9.8,0.0872,65.5,6.8,90.5,1.38,1.05,7.5,0.86,0.6,0.43,0.23,1.44,3.38,0.226
centroid_vs,01,1,1,1,0,1.5,6.0,0.0877,67.6,2.1,60.8,0.9,0.55,1.9,0.48,0.26,0.38,0.25,1.39,3.32,0.336
centroid_vs,02,1,1,1,0,0.3,5.0,0.0859,69.3,7.0,88.0,1.27,1.0,6.7,0.82,0.57,0.43,0.22,1.42,3.31,0.234
centroid_vs,03,1,1,1,0,0.9,5.1,0.0877,69.4,2.2,69.3,1.0,0.55,1.8,0.49,0.26,0.34,0.24,1.39,3.29,0.388
centroid_vs,04,1,1,1,0,0.8,5.1,0.0866,70.5,7.0,96.1,1.36,1.04,7.3,0.87,0.56,0.43,0.22,1.47,3.28,0.236
centroid_vs,05,1,1,1,0,0.8,5.4,0.0871,69.3,2.1,66.2,0.96,0.55,1.8,0.48,0.25,0.35,0.25,1.4,3.28,0.375
centroid_vs,06,1,1,1,0,0.6,4.9,0.086,69.2,7.0,108.2,1.56,1.14,8.4,0.99,0.55,0.4,0.21,1.41,3.3,0.241
centroid_vs,07,1,1,1,0,2.4,6.5,0.0887,68.0,2.1,57.6,0.85,0.5,1.5,0.45,0.22,0.34,0.26,1.41,3.31,0.361
centroid_vs,08,1,1,1,0,0.4,4.8,0.0864,69.0,7.0,89.4,1.29,1.0,7.0,0.82,0.58,0.45,0.23,1.46,3.31,0.232
centroid_vs,09,1,1,1,0,0.7,5.1,0.0871,69.2,2.1,59.2,0.86,0.51,1.6,0.45,0.23,0.37,0.26,1.44,3.27,0.338
centroid_vs,10,1,1,1,0,0.7,4.8,0.0863,69.2,6.9,87.9,1.27,1.0,6.7,0.82,0.57,0.42,0.24,1.52,3.31,0.229
centroid_vs,11,1,1,1,0,3.2,6.8,0.0881,68.0,2.1,69.1,1.02,0.57,2.1,0.5,0.27,0.4,0.25,1.4,3.3,0.367
centroid_vs,12,1,1,1,0,0.3,4.9,0.0862,69.4,6.9,95.2,1.37,1.04,7.4,0.88,0.56,0.42,0.2,1.36,3.31,0.236
centroid_vs,13,1,1,1,0,0.8,5.3,0.0878,69.2,2.2,61.3,0.89,0.54,1.6,0.48,0.23,0.33,0.23,1.31,3.3,0.374
centroid_vs,14,1,1,1,0,0.5,4.9,0.0866,69.1,6.8,90.5,1.31,0.99,7.1,0.8,0.59,0.46,0.23,1.48,3.29,0.224
centroid_vs,15,1,1,1,0,2.3,6.5,0.088,68.0,2.1,62.8,0.92,0.52,1.6,0.47,0.23,0.35,0.27,1.46,3.31,0.373
centroid_vs,16,1,1,1,0,0.8,4.7,0.0869,69.3,7.0,69.5,1.0,0.92,5.7,0.7,0.59,0.42,0.25,1.51,3.31,0.233
centroid_vs,17,1,1,1,0,0.7,5.5,0.0876,69.2,2.1,61.2,0.88,0.53,1.6,0.47,0.23,0.35,0.25,1.42,3.29,0.369
centroid_vs,18,1,1,1,0,0.3,4.8,0.0859,69.3,7.0,95.9,1.38,1.06,7.5,0.89,0.57,0.42,0.22,1.45,3.3,0.234
centroid_vs,19,1,1,1,0,1.0,5.0,0.0873,69.4,2.1,57.4,0.83,0.51,1.9,0.43,0.29,0.45,0.29,1.54,3.27,0.315
centroid_vs,20,1,1,1,0,0.8,7.3,0.0873,67.5,7.0,110.7,1.64,1.15,8.6,1.01,0.55,0.4,0.24,1.5,3.34,0.259
centroid_vs,21,1,1,1,0,0.5,5.3,0.0875,69.3,2.2,63.1,0.91,0.54,1.7,0.48,0.24,0.35,0.23,1.35,3.29,0.372
centroid_vs,22,1,1,1,0,0.3,4.7,0.0868,69.2,7.0,91.9,1.33,1.02,7.2,0.86,0.56,0.43,0.23,1.48,3.3,0.236
centroid_vs,23,1,1,1,0,2.6,7.0,0.0873,68.2,2.2,69.8,1.02,0.57,2.1,0.51,0.26,0.4,0.24,1.37,3.3,0.359
centroid_vs,24,1,1,1,0,0.4,4.8,0.0864,69.2,6.9,76.6,1.11,0.94,5.9,0.74,0.58,0.42,0.21,1.41,3.3,0.226
